CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사53255250,0,0.0,0.0,0.0,0
다사53255075,3,2.0,-0.4829349934388846,159.01736079098293,2
다사53255100,3,8.0,-0.25934061026011757,1940.573593737787,16
다사53255125,3,8.0,0.0651412188032485,724.671510116914,10
다사53255150,0,0.0,0.0,0.0,0
다사53504175,3,2.0,-0.2608270156260373,127.58534561485195,4
다사53504200,0,0.0,0.0,0.0,0
다사53504225,0,0.0,0.0,0.0,0
다사53504250,0,0.0,0.0,0.0,0
다사53504075,0,0.0,0.0,0.0,0
다사53504100,0,0.0,0.0,0.0,0
다사53504125,0,0.0,0.0,0.0,0
다사53504150,0,0.0,0.0,0.0,0
다사53504375,0,0.0,0.0,0.0,0
다사53504400,0,0.0,0.0,0.0,0
다사53504425,0,0.0,0.0,0.0,0
다사53504450,0,0.0,0.0,0.0,0
다사53504275,0,0.0,0.0,0.0,0
다사53504300,0,0.0,0.0,0.0,0
다사53504325,0,0.0,0.0,0.0,0
다사53504350,0,0.0,0.0,0.0,0
다사53255775,0,0.0,0.0,0.0,0
다사53255800,0,0.0,0.0,0.0,0
다사53255825,0,0.0,0.0,0.0,0
다사53255850,0,0.0,0.0,0.0,0
다사53255675,0,0.0,0.0,0.0,0
다사53255700,0,0.0,0.0,0.0,0
다사53255725,0,0.0,0.0,0.0,0
다사53255750,0,0.0,0.0,0.0,0
다사53503975,0,0.0,0.0,0.0,0
다사53504000,0,0.0,0.0,0.0,0
다사53504025,0,0.0,0.0,0.0,0
다사53504050,0,0.0,0.0,0.0,0
다사53255875,0,0.0,0.0,0.0,0
다사53255900,0,0.0,0.0,0.0,0
다사53255925,0,0.0,0.0,0.0,0
다사53503950,0,0.0,0.0,0.0,0
다사53005800,0,0.0,0.0,0.0,0
다사53005825,0,0.0,0.0,0.0,0
다사53005850,0,0.0,0.0,0.0,0
다사53005875,0,0.0,0.0,0.0,0
다사53005700,0,0.0,0.0,0.0,0
다사53005725,0,0.0,0.0,0.0,0
다사53005750,0,0.0,0.0,0.0,0
다사53005775,0,0.0,0.0,0.0,0
다사53253975,0,0.0,0.0,0.0,0
다사53254000,0,0.0,0.0,0.0,0
다사53254025,0,0.0,0.0,0.0,0
다사53254050,0,0.0,0.0,0.0,0
다사53005900,0,0.0,0.0,0.0,0
다사53253900,0,0.0,0.0,0.0,0
다사53253925,0,0.0,0.0,0.0,0
다사53253950,0,0.0,0.0,0.0,0
다사53005400,0,0.0,0.0,0.0,0
다사53005425,0,0.0,0.0,0.0,0
다사53005450,3,2.0,-0.08305760144123557,967.0231879428308,1
다사53005475,0,0.0,0.0,0.0,0
다사53005300,0,0.0,0.0,0.0,0
다사53005325,0,0.0,0.0,0.0,0
다사53005350,0,0.0,0.0,0.0,0
다사53005375,0,0.0,0.0,0.0,0
다사53005600,0,0.0,0.0,0.0,0
다사53005625,0,0.0,0.0,0.0,0
다사53005650,0,0.0,0.0,0.0,0
다사53005675,0,0.0,0.0,0.0,0
다사53005500,0,0.0,0.0,0.0,0
다사53005525,0,0.0,0.0,0.0,0
다사53005550,0,0.0,0.0,0.0,0
다사53005575,0,0.0,0.0,0.0,0
다사53254575,0,0.0,0.0,0.0,0
다사53254600,0,0.0,0.0,0.0,0
다사53254625,4,4.0,0.7980815568684021,314.2627613168101,2
다사53254650,0,0.0,0.0,0.0,0
다사53254475,0,0.0,0.0,0.0,0
다사53254500,0,0.0,0.0,0.0,0
다사53254525,0,0.0,0.0,0.0,0
다사53254550,0,0.0,0.0,0.0,0
다사53254775,0,0.0,0.0,0.0,0
다사53254800,3,2.0,-0.5737990546484444,1556.350529480796,2
다사53254825,0,0.0,0.0,0.0,0
다사53254850,3,2.0,-0.4830723031263003,1634.2424649623763,12
다사53254675,0,0.0,0.0,0.0,0
다사53254700,3,2.0,0.17299067328388146,2782.295036365309,2
다사53254725,0,0.0,0.0,0.0,0
다사53254750,0,0.0,0.0,0.0,0
다사53254175,0,0.0,0.0,0.0,0
다사53254200,0,0.0,0.0,0.0,0
다사53254225,0,0.0,0.0,0.0,0
다사53254250,0,0.0,0.0,0.0,0
다사53254075,0,0.0,0.0,0.0,0
다사53254100,0,0.0,0.0,0.0,0
다사53254125,0,0.0,0.0,0.0,0
다사53254150,0,0.0,0.0,0.0,0
다사53254375,0,0.0,0.0,0.0,0
다사53254400,0,0.0,0.0,0.0,0
다사53254425,0,0.0,0.0,0.0,0
다사53254450,0,0.0,0.0,0.0,0
다사53254275,0,0.0,0.0,0.0,0
다사53254300,0,0.0,0.0,0.0,0
다사53254325,0,0.0,0.0,0.0,0
다사53254350,0,0.0,0.0,0.0,0
다사71755025,0,0.0,0.0,0.0,0
다사71755050,0,0.0,0.0,0.0,0
다사71755075,0,0.0,0.0,0.0,0
다사71755100,0,0.0,0.0,0.0,0
다사71505250,0,0.0,0.0,0.0,0
다사71754950,0,0.0,0.0,0.0,0
다사71754975,0,0.0,0.0,0.0,0
다사71755000,0,0.0,0.0,0.0,0
다사72005000,0,0.0,0.0,0.0,0
다사72005025,0,0.0,0.0,0.0,0
다사71755125,0,0.0,0.0,0.0,0
다사71755150,0,0.0,0.0,0.0,0
다사72004950,0,0.0,0.0,0.0,0
다사72004975,0,0.0,0.0,0.0,0
다사71004975,0,0.0,0.0,0.0,0
다사71005000,0,0.0,0.0,0.0,0
다사71005025,2,2.0,-0.16132211282605452,2180.959052369448,2
다사71005050,0,0.0,0.0,0.0,0
다사70755275,0,0.0,0.0,0.0,0
다사70755300,0,0.0,0.0,0.0,0
다사70755325,0,0.0,0.0,0.0,0
다사71004950,3,2.0,-0.4077148854259758,247.74717220924956,1
다사71005175,0,0.0,0.0,0.0,0
다사71005200,0,0.0,0.0,0.0,0
다사71005225,0,0.0,0.0,0.0,0
