CELL_ID,lat,lon,pm10_mean
다사53755025,37.5526959873909,126.976384991167,20.73064
다사53755050,37.554949290149295,126.976369225345,18.720434
다사53754875,37.5391761526194,126.976479549237,20.36807
다사53754900,37.5414294605837,126.976463793946,19.82359
다사53754925,37.543682767680394,126.97644803690099,19.661283
다사53754950,37.5459360739095,126.97643227809999,20.119675
다사53755175,37.5662157909255,126.97629036989099,22.176207
다사53755200,37.5684690884774,126.97627459353001,19.87218
다사53755225,37.5707223851615,126.97625881541201,21.193607
다사53755250,37.5729756809778,126.976243035536,20.605904
다사53755075,37.55720259204001,126.97635345776699,22.109125
다사53755100,37.559455893063,126.976337688433,18.618307
다사53755125,37.5617091932183,126.97632191734199,18.891367
다사53755150,37.5639624925058,126.976306144495,17.537947
다사53504975,37.5481768639307,126.973586445687,20.416294
다사53505000,37.5504301674122,126.973570598188,20.967209
다사53505025,37.5526834700259,126.973554748923,21.34589
다사53505050,37.5549367717719,126.97353889789301,21.73339
다사53504875,37.5391636413278,126.973649818041,20.013664
다사53504900,37.5414169482801,126.973633977599,19.856482
다사53504925,37.5436702543646,126.97361813539301,20.08678
다사53504950,37.545923559581496,126.97360229142201,20.236286
다사53505175,37.5662032674851,126.973459616257,20.375216
다사53505200,37.5684565640242,126.973443754632,20.759409
다사53505225,37.5707098596955,126.973427891239,18.108217
다사53505250,37.572963154498794,126.97341202608,17.731884
다사53505075,37.5571900726502,126.97352304509701,20.950506
다사53505100,37.5594433726606,126.973507190536,21.233898
다사53505125,37.5616966718033,126.97349133421001,22.2335
다사53505150,37.5639499700781,126.973475476117,18.085968
다사53504575,37.5121238902308,126.973839765812,24.101368
다사53504600,37.5143772075934,126.97382394652399,21.583265
다사53504625,37.516630524088704,126.973808125474,21.085398
다사53504650,37.518883839716395,126.973792302663,20.27592
다사53504475,37.503110612106205,126.97390302535,21.209433
다사53504500,37.5053639329384,126.97388721310699,20.350063
다사53504525,37.507617252903295,126.97387139910299,24.719896
다사53504550,37.5098705720007,126.973855583338,24.222631
다사53504775,37.53015040484279,126.97371316216999,20.640795
다사53504800,37.532403715265396,126.973697328783,20.51663
다사53504825,37.5346570248205,126.97368149363199,21.149578
다사53504850,37.536910333508,126.97366565671801,20.792692
다사53504675,37.521137154476705,126.97377647808901,19.37465
다사53504700,37.5233904683695,126.97376065175399,20.26571
다사53504725,37.5256437813948,126.973744823655,19.056671
다사53504750,37.5278970935526,126.973728993794,19.955233
다사53505775,37.6202821448531,126.973078449217,15.583969
다사53505800,37.6225354205581,126.97306254513398,15.949944
다사53505825,37.6247886953948,126.973046639279,16.087234
다사53505850,37.627041969363205,126.97303073165199,16.343174
다사53505675,37.611269033350204,126.973142047838,17.669886
다사53505700,37.613522312528296,126.97312615084,18.79336
다사53505725,37.615775590838204,126.97311025206999,15.02739
다사53505750,37.618028868279794,126.97309435152901,15.579113
다사53753975,37.458056488241894,126.97704557282101,18.752752
다사53754000,37.460309827427295,126.977029880562,18.735336
다사53754025,37.4625631657458,126.97701418655599,18.47358
다사53754050,37.4648165031974,126.976998490802,18.495281
다사53505875,37.6292952424633,126.97301482225299,16.202843
다사53505900,37.6315485146949,126.972998911082,16.221083
다사53505925,37.6338017860582,126.97298299813801,16.16442
다사53753950,37.4558031481895,126.977061263333,18.739193
다사53505375,37.584229615496504,126.973332673773,17.455019
다사53505400,37.586482905092105,126.973316798009,15.772248
다사53505425,37.588736193819706,126.97330092047501,17.981829
다사53505450,37.5909894816792,126.973285041173,17.482185
다사53505275,37.5752164484343,126.97339615915399,20.910631
다사53505300,37.5774697415018,126.97338029046001,19.046736
다사53505325,37.5797230337013,126.97336441999902,19.188866
다사53505350,37.5819763250329,126.97334854777,19.595903
다사53505575,37.6022559079557,126.973205618129,15.620844
다사53505600,37.604509190606606,126.97318972821199,15.705982
다사53505625,37.6067624723893,126.973173836524,15.903333
다사53505650,37.609015753303794,126.973157943066,17.960747
다사53505475,37.5932427686707,126.973269160103,17.423662
다사53505500,37.595496054794104,126.973253277263,16.826569
다사53505525,37.5977493400494,126.973237392655,15.872643
다사53505550,37.600002624436605,126.97322150627701,15.61233
다사53255375,37.5842170160385,126.970501239524,17.901031
다사53255400,37.586470304615396,126.97048527841801,16.648603
다사53255425,37.5887235923241,126.970469315535,15.891386
다사53255450,37.5909768791648,126.97045335087401,16.075558
다사53255275,37.5752038530507,126.97056506617099,18.472372
다사53255300,37.5774571450997,126.97054911217501,18.416092
다사53255325,37.579710436280706,126.970533156402,19.686327
다사53255350,37.5819637265936,126.97051719885201,19.423388
다사53255575,37.6022433003458,126.970373500889,15.727296
다사53255600,37.6044965819775,126.970357525555,16.415607
다사53255625,37.6067498627409,126.97034154844101,16.948826
다사53255650,37.609003142636105,126.970325569548,17.745857
다사53255475,37.59323016513729,126.97043738443399,16.504808
다사53255500,37.5954834502417,126.970421416216,16.113495
다사53255525,37.5977367344779,126.970405446219,15.369604
다사53255550,37.599990017846,126.970389474444,15.231675
다사53254975,37.5481642807647,126.970756375595,20.132923
다사53255000,37.550417583228395,126.97074044290702,21.819809
다사53255025,37.5526708848242,126.97072450844401,22.437016
다사53255050,37.554924185552295,126.97070857220601,22.281767
다사53254875,37.5391510622324,126.970820088608,20.42157
다사53254900,37.541404368167,126.970804163015,20.528185
다사53254925,37.543657673234,126.970788235649,21.687592
다사53254950,37.5459109774332,126.970772306509,21.59341
다사53255175,37.566190676175,126.97062886439,19.68411
다사53255200,37.56844397169579,126.9706129175,20.929543
다사53255225,37.570697266348795,126.970596968834,18.519165
다사53255250,37.572950560133705,126.970581018391,19.634281
다사53255075,37.5571774854126,126.970692634194,22.384577
다사53255100,37.559430784404995,126.970676694406,22.4472
다사53255125,37.5616840825296,126.970660752843,21.699469
다사53255150,37.5639373797862,126.970644809504,17.791065
다사53504175,37.4760706944723,126.974092634996,20.759192
다사53504200,37.4783240257114,126.974076843867,20.478987
다사53504225,37.4805773560834,126.97406105098,20.685528
다사53504250,37.482830685588205,126.974045256334,19.783228
